City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,76.44,light rain,-23.1203,-134.9692,People ThankYou
9,Matamoros,MX,87.55,broken clouds,25.5333,-103.25,Quinta Belem
11,Cabo San Lucas,MX,76.6,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
14,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Arlit,NE,83.44,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
26,Kavaratti,IN,83.57,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
30,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
31,Victoria,HK,80.96,overcast clouds,22.2855,114.1577,Mini Central
33,Kirakira,SB,83.19,few clouds,-10.4544,161.9205,SanBiz Lodge
34,Atuona,PF,78.13,broken clouds,-9.8,-139.0333,Villa Enata
35,Faanui,PF,79.75,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Beeville,US,79.29,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
40,Muncar,ID,83.95,overcast clouds,-8.4333,114.3333,Zaky Homestay
45,Le Vauclin,MQ,80.65,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
47,Avarua,CK,78.13,light rain,-21.2078,-159.775,Paradise Inn
49,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
53,Ocos,GT,84.65,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
56,Chor,PK,89.22,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
66,Jammalamadugu,IN,85.1,light rain,14.8333,78.4,R and B Guest House
68,Calabozo,VE,79.27,overcast clouds,8.9242,-67.4293,Hotel Giardini
69,San Pedro,PH,89.31,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
73,Butaritari,KI,81.86,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
76,Amahai,ID,83.95,broken clouds,-3.3333,128.9167,HOTEL ISABELA
80,Estelle,US,82.0,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
83,Naifaru,MV,82.67,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
86,Lunglei,IN,83.01,few clouds,22.8833,92.7333,Hotel Elite
107,Auki,SB,82.58,scattered clouds,-8.7676,160.7034,Auki Motel
110,Bengkulu,ID,83.77,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
117,San Policarpo,PH,83.39,overcast clouds,12.1791,125.5072,Agapita M. Nicart
118,Wanning,CN,83.34,few clouds,18.8003,110.3967,Paradise Hotel
121,Sakakah,SA,77.34,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
122,Ahuimanu,US,77.36,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
123,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
125,Kinablangan,PH,83.34,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
139,Nabire,ID,86.68,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
142,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
143,Hithadhoo,MV,83.1,overcast clouds,-0.6,73.0833,Scoop Guest House
144,Labuhan,ID,85.48,overcast clouds,-6.8844,112.2051,DoubleFAG
149,Sao Jose Da Coroa Grande,BR,76.93,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
153,Dillon,US,77.34,clear sky,34.4166,-79.3712,Dillon Express Inn
156,Lianzhou,CN,82.27,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
157,Biak,ID,78.51,overcast clouds,-0.9131,122.8766,Penginapan Kim
159,Douentza,ML,83.48,clear sky,14.9951,-2.9517,Ogomono Doumbo
179,Aksu,CN,77.54,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
182,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
186,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
187,Madang,PG,86.52,few clouds,-5.2246,145.7966,Comfort Inn Hotel
192,Kendari,ID,82.31,overcast clouds,-3.945,122.4989,Hotel Wixel
193,Kupang,ID,88.05,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
194,Nara,JP,79.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
195,Payo,ID,86.92,few clouds,-3.7508,103.6372,Mess keban agung
199,Daru,PG,82.09,scattered clouds,-9.0763,143.2092,Daru Lodge
200,Sibolga,ID,85.46,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
201,Dalianwan,CN,75.24,clear sky,39.0286,121.695,Huanghai Hotel
202,Black River,JM,78.91,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
205,Shache,CN,78.37,clear sky,38.4167,77.2406,Delong Hotel
207,Kannangad,IN,75.34,light rain,12.3081,75.1063,Hotel Landmark
214,Evans,US,78.85,clear sky,33.5337,-82.1307,Evans hide out
217,Les Cayes,HT,77.74,overcast clouds,18.2,-73.75,Villa Orphee
226,Xuzhou,CN,79.05,overcast clouds,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
228,Palo Alto,US,76.93,clear sky,37.4419,-122.143,el PRADO Hotel
230,Eyl,SO,81.99,broken clouds,7.9803,49.8164,Amiin Hotel
231,Nalgonda,IN,85.64,overcast clouds,17.05,79.2667,Sai Krishna Residency
233,Aquiraz,BR,78.89,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
239,San Ignacio,BZ,84.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
241,Cabedelo,BR,78.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
242,Bubaque,GW,78.1,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
243,Bandarbeyla,SO,83.52,overcast clouds,9.4942,50.8122,JABIR HOTEL
245,Hervey Bay,AU,77.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
253,Jining,CN,83.62,overcast clouds,35.405,116.5814,Yunhe Star Hotel
255,Hasaki,JP,81.28,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
262,Qixia,CN,81.05,overcast clouds,37.2975,120.8256,Etsong Hotel
263,Finschhafen,PG,84.78,light rain,-6.6024,147.8681,Cossam Guest House
264,Floriano,BR,77.7,overcast clouds,-6.7669,-43.0225,Hotel Maktub
268,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
269,Loandjili,CG,77.07,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
272,Dawlatabad,AF,78.21,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
277,Cairns,AU,85.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
278,Malindi,KE,76.3,light rain,-3.2175,40.1191,African House Resort
279,Yuanping,CN,76.17,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
280,Korla,CN,81.45,clear sky,41.7597,86.1469,Gulisitan Hotel
281,Ishigaki,JP,75.51,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
283,Hays,US,83.16,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
294,Chifeng,CN,77.11,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
297,Sao Filipe,CV,76.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
308,Shima,CN,79.02,few clouds,24.4478,117.8111,龙海钻石大酒店
313,Alofi,NU,78.69,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
318,Vasai,IN,86.09,broken clouds,19.47,72.8,Jivdani Kripa
324,Lorengau,PG,86.79,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
328,Takoradi,GH,78.82,scattered clouds,4.8845,-1.7554,Raybow International Hotel
330,Isangel,VU,77.29,light rain,-19.55,169.2667,Tanna Lodge
338,Kalmunai,LK,84.85,clear sky,7.4167,81.8167,VS Villa
341,Port Blair,IN,78.48,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
344,Mount Isa,AU,83.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
345,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
346,Kiunga,PG,81.77,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
349,San Patricio,US,80.49,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
357,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
361,Srandakan,ID,84.81,overcast clouds,-7.9386,110.2506,Puri Brata
368,Dingle,PH,87.57,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
374,Kailua,US,78.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
376,Banda Aceh,ID,85.23,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
379,Atar,MR,79.61,overcast clouds,20.5169,-13.0499,Oumou Elghoura
381,Basna,IN,89.35,overcast clouds,21.2833,82.8167,Hotel Grand Alfa [BASNA]
386,Dhidhdhoo,MV,83.84,overcast clouds,6.8833,73.1,Dhidhoo beach
390,Kassala,SD,83.7,scattered clouds,15.451,36.4,Amassi Hotel Gash
391,Tucson,US,89.11,clear sky,32.2217,-110.9265,DoubleTree by Hilton Hotel Tucson - Reid Park
393,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
394,Miramar,US,82.02,clear sky,25.9873,-80.2323,Stadium Hotel
400,Teahupoo,PF,78.53,broken clouds,-17.8333,-149.2667,Vanira Lodge
401,Lamont,US,84.47,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
403,Kavieng,PG,84.43,clear sky,-2.5744,150.7967,Nusa Island Retreat
404,Pak Phanang,TH,84.06,light rain,8.3511,100.202,Green Park Inn Hotel
405,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
406,Omboue,GA,77.72,overcast clouds,-1.5746,9.2618,Hotel Olako
407,Hobyo,SO,79.14,broken clouds,5.3505,48.5268,Iftin hotel hobyo
413,Gunjur,GM,75.27,few clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
416,Kokopo,PG,87.73,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
417,Russell,US,76.6,clear sky,32.3502,-85.1999,Macs
419,Vanimo,PG,86.14,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
421,Belmonte,BR,76.28,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
427,Pathein,MM,86.4,overcast clouds,16.7833,94.7333,Pathein Hotel
431,Lucea,JM,77.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
432,Wana,PK,81.27,clear sky,32.2989,69.5725,Rest House at Wana Camp
438,Tautira,PF,79.84,broken clouds,-17.7333,-149.15,Pension Oaoa
441,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
442,Bolshoy Lug,RU,75.18,few clouds,52.0779,104.0919,Metallurg
444,Ormara,PK,82.27,clear sky,25.2088,64.6357,Kenara Colony house for Rent
450,Lano,NG,81.64,overcast clouds,10.1725,11.4715,Lano
451,Baoshan,CN,75.43,broken clouds,46.5586,131.4244,Kelaixiang Restaurant
453,Talavera,PH,81.9,overcast clouds,15.6167,120.9333,R&G's Resort
454,Puerto Escondido,MX,83.26,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
456,Tyler,US,83.14,clear sky,32.3513,-95.3011,Quality Inn Tyler - Lindale
465,Gizo,SB,84.56,few clouds,-8.103,156.8419,Imagination Island
468,Mogadishu,SO,79.66,overcast clouds,2.0371,45.3438,Hotel Juba
469,Lamesa,US,87.53,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
470,Mecca,SA,84.38,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
475,Charters Towers,AU,75.7,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
476,Ca Mau,VN,87.04,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
484,San Jose,US,79.88,scattered clouds,37.3394,-121.895,The Westin San Jose
487,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
488,Tam Ky,VN,83.26,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
489,Sarangani,PH,83.73,broken clouds,5.4033,125.4636,Ballistic Islet
490,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
492,Muisne,EC,76.77,overcast clouds,0.6,-80.0333,Quinta Samay
494,Roebourne,AU,79.09,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
499,Khorinsk,RU,75.61,broken clouds,52.1657,109.7726,Uda
500,West Wendover,US,78.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
502,Samarai,PG,82.89,clear sky,-10.6167,150.6667,Nuli Sapi
511,Lamar,US,78.78,clear sky,33.6668,-95.5836,Kings Inn Paris TX
513,Kutum,SD,75.22,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
515,Marawi,PH,83.23,broken clouds,7.9986,124.2928,Derogongan Residence
520,Kashi,CN,76.19,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
521,Balikpapan,ID,88.79,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
525,Kudahuvadhoo,MV,83.46,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
526,Ranong,TH,84.13,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
529,Touros,BR,77.83,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
530,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
535,Mehran,IR,82.44,clear sky,33.1222,46.1646,بوتیک زنانه بهار
537,Ternate,ID,84.16,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
538,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
539,Kabanjahe,ID,76.91,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
540,Marsh Harbour,BS,78.69,few clouds,26.5412,-77.0636,Abaco Beach Resort
541,Pringsewu,ID,86.72,broken clouds,-5.3582,104.9744,Urban Style by Front One
544,Japura,ID,88.36,light rain,-0.3167,102.35,Rumah mbah Jamah
546,Bowen,AU,79.32,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
554,Cockburn Town,TC,80.11,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
556,Vao,NC,75.33,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
569,Karratha,AU,79.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
572,Kroya,ID,85.39,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
575,California City,US,83.86,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
576,Pontian Kecil,MY,86.32,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
591,Port-Gentil,GA,79.75,overcast clouds,-0.7193,8.7815,Fengshui Residence
594,Itarema,BR,77.76,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
595,Jinchang,CN,75.11,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
605,Zhangjiakou,CN,75.49,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
607,Honiara,SB,84.56,scattered clouds,-9.4333,159.95,Heritage Park Hotel
610,Belyy Yar,RU,77.86,clear sky,53.6039,91.3903,Pasportnyy Stol
611,Bilma,NE,85.8,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
616,Stephenville,US,86.86,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
617,Pundaguitan,PH,82.56,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
618,Toma,BF,84.34,broken clouds,12.7667,-2.8833,Auberge de l'amitié
623,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
624,Buchanan,LR,78.04,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
626,Tura,IN,79.56,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
638,Ukiah,US,75.09,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
641,Ximei,CN,80.53,few clouds,24.9639,118.3794,Nan'an Hotel
643,Sakaiminato,JP,80.58,broken clouds,35.55,133.2333,Italian pasley
644,Santa Marta,CO,82.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
646,Tecoanapa,MX,81.37,clear sky,16.5167,-98.75,Hotel Manglares
649,Gigmoto,PH,85.96,overcast clouds,13.7796,124.39,Cj's Travellers Inn
670,Noumea,NC,82.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
671,Green Valley,US,86.77,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
674,Sonoita,MX,76.01,clear sky,31.85,-112.8333,Hotel internacional
675,Yangjiang,CN,77.85,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
681,Atambua,ID,84.49,broken clouds,-9.1061,124.8925,Kost Alfa Flat
690,Mongo,TD,82.74,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
691,Aswan,EG,80.78,few clouds,24.0934,32.907,Nuba Nile
693,Narasannapeta,IN,89.28,overcast clouds,18.4167,84.05,AVK events and catering
694,Dwarka,IN,83.14,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
702,Koumac,NC,79.56,scattered clouds,-20.5667,164.2833,Le Monitel
706,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
712,Pampa,US,81.57,scattered clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
